Name;Longitude;Latitude;RegionCode;ShapeId
A Coruna;-8.395835;43.37087;ES.GA;ES.GA.AC
Álava;-2.667893;42.84641;ES.PV;ES.PV.AA
Albacete;-1.86007;38.99765;ES.CM;ES.CM.AB
Alicante;-0.481006;38.3452;ES.VC;ES.VC.AN
Almería;-2.467922;36.84016;ES.AN;ES.AN.AM
Asturias;-5.844759;43.36026;ES.AS;ES.AS.AS
Ávila;-4.700323;40.65642;ES.CL;ES.CL.AV
Badajoz;-6.970284;38.8786;ES.EX;ES.EX.BD
Baleares;2.649966;39.56951;ES.PM;ES.PM.BL
Barcelona;2.169919;41.38792;ES.CT;ES.CT.BR
Burgos;-3.699731;42.34087;ES.CL;ES.CL.BU
Cáceres;-6.37076;39.47618;ES.EX;ES.EX.CC
Cádiz;-6.292657;36.52969;ES.AN;ES.AN.CD
Cantabria;-3.807934;43.46096;ES.CB;ES.CB.CN
Castellón;-0.0376709;39.98598;ES.VC;ES.VC.CS
Ceuta;-5.316195;35.88829;ES.CE;ES.CE.CE
Ciudad Real;-3.927263;38.9861;ES.CM;ES.CM.CR
Córdoba;-4.779152;37.88473;ES.AN;ES.AN.CO
Cuenca;-2.134005;40.07183;ES.CM;ES.CM.CU
Girona;2.8237;41.9818;ES.CT;ES.CT.GN
Granada;-3.597929;37.17649;ES.AN;ES.AN.GD
Guadalajara;-3.166493;40.62981;ES.CM;ES.CM.GJ
Guipuzcoa;-1.984421;43.32074;ES.PV;ES.PV.GP
Huelva;-6.949555;37.2571;ES.AN;ES.AN.HL
Huesca;-0.408898;42.1401;ES.AR;ES.AR.HS
Jaén;-3.789518;37.76574;ES.AN;ES.AN.JA
La Rioja;-2.449995;42.46577;ES.LO;ES.LO.LR
Las Palmas;-15.43001;28.12482;ES.CN;ES.CN.LP
León;-5.571752;42.59988;ES.CL;ES.CL.LN
Lleida;0.6257825;41.61415;ES.CT;ES.CT.LD
Lugo;-7.555851;43.01208;ES.GA;ES.GA.LG
Madrid;-3.700346;40.41669;ES.MD;ES.MD.MD
Malaga;-4.420019;36.71965;ES.AN;ES.AN.MG
Melilla;-2.938794;35.29234;ES.ML;ES.ML.ME
Murcia;-1.12989;37.98344;ES.MU;ES.MU.MR
Navarra;-1.646767;42.81721;ES.NA;ES.NA.NV
Ourense;-7.864641;42.34001;ES.GA;ES.GA.OR
Palencia;-4.531175;42.01246;ES.CL;ES.CL.PL
Pontevedra;-8.648053;42.43362;ES.GA;ES.GA.PV
Salamanca;-5.663047;40.96497;ES.CL;ES.CL.SL
Santa Cruz de Tenerife;-16.25486;28.46981;ES.CN;ES.CN.TE
Segovia;-4.119209;40.94943;ES.CL;ES.CL.SG
Sevilla;-5.996295;37.38264;ES.AN;ES.AN.SV
Soria;-2.464921;41.7636;ES.CL;ES.CL.SR
Tarragona;1.24533;41.11866;ES.CT;ES.CT.TG
Teruel;-1.10691;40.34411;ES.AR;ES.AR.TE
Toledo;-4.024476;39.85678;ES.CM;ES.CM.TD
Valencia;-0.3768049;39.47024;ES.VC;ES.VC.VN
Valladolid;-4.728388;41.65295;ES.CL;ES.CL.VD
Vizcaya;-2.923441;43.25696;ES.PV;ES.PV.VZ
Zamora;-5.743778;41.50368;ES.CL;ES.CL.ZM
Zaragoza;-0.8765379;41.65629;ES.AR;ES.AR.ZG
